[[[[[[[Manuela CAPELLO]]]]]]];ACOUSTICS (ACTIVE);ACOUSTICS (PASSIVE);AGGREGATION (SPATIAL);ALGORITHMICS;ANIMAL COMMUNITY;ARTIFICIAL INTELLIGENCE;ARTIFICIAL NEURAL NETWORK;ARTISANAL FISHERY;ATLANTIC OCEAN (INTERTROPICAL);BEHAVIOUR (FISH);BEHAVIOUR (FISHERMEN);BIODIVERSITY;BIODIVERSITY (ANTHROPOGENIC INFLUENCE);BIODIVERSITY (CONSERVATION);BIODIVERSITY (HOTSPOT);BIODIVERSITY (MARINE);BIOLOGY (COMPUTATIONAL);BIOLOGY (MARINE);BIOMASS (OCEAN);BIOSTATISTICS;BYCATCH AND DISCARD (FISHERIES);CAPACITY BUILDING;CATCHABILITY;CENTRAL EAST ATLANTIC OCEAN;CHLOROPHYLL;CLIMATE ADAPTATION;CLIMATE CHANGE IMPACTS;COLLECTIVE BEHAVIOUR;COMPLEX SYSTEM;COMPUTER SCIENCE;CONSERVATION BIOLOGY;DATA (ACOUSTICS);DATA (ENVIRONMENTAL, SOCIO-ECOLOGICAL);DATA (FISHERIES);DATA (MULTISOURCE);DATA (QUALITATIVE);DATA (SATELLITE);DATA ANALYSIS;DATA ASSIMILATION;DATA COLLECTION;DATA CURATION;DATA DISSEMINATION;DATA DRIVEN APPROACH;DATA HETEROGENEITY;DATA INTEGRATION;DATA INTEROPERABILITY;DATA MANAGEMENT;DATA MANAGEMENT PLAN;DATA MINING;DATA POOR CONTEXT;DATA PREPROCESSING;DATA PROCESSING;DATA QUALITY ASSESSMENT;DATA REANALYSIS;DATA SCIENCE;DATA SHARING;DECISION SUPPORT TOOL;DIFFERENTIAL EQUATION;DYNAMICAL SYSTEM;EAF (ECOSYSTEM APPROACH TO FISHERIES);ECOLOGY (BEHAVIOURAL);ECOLOGY (FISHERIES);ECOLOGY (MARINE);ECOLOGY (QUANTITATIVE);ECOSYSTEM (AQUATIC);ECOSYSTEM (MARINE);ECOSYSTEM (TROPICAL PELAGIC);ECOSYSTEM SERVICE;ELASMOBRANCHII (SHARKS AND RAYS);ELECTRONIC TAGGING;ENDANGERED, THREATENED, PROTECTED SPECIES (ETP);ENVIRONMENT (MARINE);EXPERIMENTAL VALIDATION;EXPERTISE (SCIENTIFIC);FAD (FISH AGGREGATING DEVICE);FISHERIES ACOUSTICS;FISHERIES MANAGEMENT;FISHERIES RESOURCE;FISHERIES SCIENCE (FR: HALIEUTIQUE);GLOBAL CHANGE IMPACT;HABITAT (MARINE);IMPACT ASSESMENT (FISHERIES);INDIAN OCEAN;INDICATOR (BIOLOGICAL);INDICATOR (ENVIRONMENTAL);INDICATOR (SOCIO-ENVIRONMENTAL);INDONESIA;IVORY COAST;MACHINE - DEEP LEARNING;MALDIVES;MITIGATION MEASURE;MODEL (AGENT-BASED);MODEL (INDIVIDUAL-BASED);MODEL (MATHEMATICAL);MODEL (NUMERICAL);MODEL (OPERATIONAL);MODEL (SPATIALLY EXPLICIT);MODELLING;MODELLING (BEHAVIOUR);MODELLING (COMPLEX SYSTEM);MODELLING (ECOLOGICAL);MODELLING (HABITAT, ECOLOGY);MODELLING (STOCHASTIC PROCESSES);MOZAMBIQUE CHANNEL;MULTI-AGENT SYSTEM;MULTI-SCALE (SPATIAL AND TEMPORAL);NATURAL RESOURCE MANAGEMENT;NON LINEAR DYNAMICS;OBSERVERS PROGRAM (FISHERIES);PELAGIC FISH;POPULATION DYNAMICS;PURSE SEINE FISHERY;QUANTUM MECHANICS;R PROGRAMMING;RANDOM DECISION FOREST;REMOTE SENSING;RFMO (REGIONAL FISHERIES MANAGEMENT ORGANISATION);SDG 14 (SUST. DEVEL. GOAL - OCEANS);SELECTIVITY (FISHING GEAR);SIMULATION;SIMULATION (MONTE-CARLO);SOUTH WESTERN INDIAN OCEAN;SOUTH-EAST ASIA;SPATIAL DYNAMICS;STATISTICAL MECHANICS;STOCK ASSESSMENT;SUSTAINABILITY (FISHERIES);SUSTAINABILITY SCIENCE;SUSTAINABLE MANAGEMENT;TUNA FISHERIES;ULTRASONIC TELEMETRY;UMR MARBEC (MAR. BIODIV. EXPLOIT. CONSERV.);VULNERABILITY
[[[[[[[Pascal BACH]]]]]]];ACOUSTICS (ACTIVE);ACOUSTICS (PASSIVE);ANIMAL COMMUNITY;ARTISANAL FISHERY;ATLANTIC OCEAN (INTERTROPICAL);BAIT (FISHING);BEHAVIOUR (FISH);BIOMETRICS;BIOSTATISTICS;BYCATCH AND DISCARD (FISHERIES);CATCHABILITY;CENTRAL EAST ATLANTIC OCEAN;CENTRAL SOUTH PACIFIC OCEAN;CONSERVATION BIOLOGY;DATA (FISHERIES);DATA COLLECTION;DATA POOR CONTEXT;DEPREDATION (FISH CATCH);DIEL MIGRATION (MAR. BIOL.);EAF (ECOSYSTEM APPROACH TO FISHERIES);ECOLOGICAL RISK ASSESSMENT (ERA);ECOLOGY (BEHAVIOURAL);ECOLOGY (FISHERIES);ECOLOGY (LAGOON);ECOLOGY (MARINE);ECOSYSTEM (COASTAL);ECOSYSTEM (TROPICAL PELAGIC);ELASMOBRANCHII (SHARKS AND RAYS);ELECTRONIC TAGGING;ENDANGERED, THREATENED, PROTECTED SPECIES (ETP);ETANG DE THAU LAGOON (FRANCE);EXPERIMENTAL DEVICE;FAD (FISH AGGREGATING DEVICE);FISHERIES ACOUSTICS;FISHERIES MANAGEMENT;FISHERIES RESOURCE;FISHERIES SCIENCE (FR: HALIEUTIQUE);FISHING GEAR TECHNOLOGY;FRENCH POLYNESIA;HABITAT (FISH);IMPACT ASSESMENT (FISHERIES);INDIAN OCEAN;INDICATOR (BIOLOGICAL);INDICATOR (ENVIRONMENTAL);LIFE HISTORY TRAIT;MADAGASCAR;MARINE MEGAFAUNA;MAYOTTE;MITIGATION MEASURE;MODEL GAM (GENERAL ADDITIVE MODEL);MODEL GLM (GENERAL LINEARIZED MODEL);MODELLING;MODELLING (INFERENTIAL);MODELLING (STATISTICAL);MONITORING (ENVIRONMENTAL);MONITORING (STATISTICAL);MOZAMBIQUE CHANNEL;OBSERVATORY;OBSERVERS PROGRAM (FISHERIES);ODONTOCETI (TOOTHED WHALES);PATENT FILING;PELAGIC FISH;PELAGIC LONG LINE FISHERY;RESEARCH CRUISE;RFMO (REGIONAL FISHERIES MANAGEMENT ORGANISATION);RISK ASSESSMENT;SCIENTIFIC EXPERTISE;SCLEROCHRONOLOGY (FISH AGEING);SDG 02 (SUST. DEVEL. GOAL - ALIMENTATION);SDG 04 (SUST. DEVEL. GOAL - EDUCATION);SDG 14 (SUST. DEVEL. GOAL - OCEANS);SEAMOUNT;SELECTIVITY (FISHING GEAR);SEYCHELLES;SOUTH WESTERN INDIAN OCEAN;THE REUNION ISLAND;TRAINING (FR: FORMATION);TUNA FISHERIES;ULTRASONIC TELEMETRY;UMR MARBEC (MAR. BIODIV. EXPLOIT. CONSERV.);VULNERABILITY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[[[[[Nicolas BEZ]]]]]]];ACOUSTICS (ACTIVE);AGGREGATION (SPATIAL);ANIMAL COMMUNITY;ATLANTIC OCEAN;BEHAVIOUR (FISHERMEN);BIODIVERSITY;BIOGEOGRAPHY;BIOSTATISTICS;CARTOGRAPHY AND MAPPING;CLASSIFICATION - TYPOLOGY;COLLECTIVE BEHAVIOUR;DATA (ACOUSTICS);DATA (FISHERIES);DATA (GEOREFERENCED);DATA (QUALITATIVE);DATA ANALYSIS;DATA DRIVEN APPROACH;DEMERSAL FISH SPECIES;DISCRETIZATION;EAF (ECOSYSTEM APPROACH TO FISHERIES);ECHO-INTEGRATION;ECOLOGY (BEHAVIOURAL);ECOLOGY (FISHERIES);ECOLOGY (MARINE);ECOLOGY (NICHE);ECOLOGY (QUANTITATIVE);ECOSYSTEM (AQUATIC);ECOSYSTEM (MARINE);ECOSYSTEM (TROPICAL PELAGIC);ECOSYSTEM DYNAMICS;ECOSYSTEM PROCESSES;EXPERTISE (SCIENTIFIC);FISHERIES ACOUSTICS;FISHERIES MANAGEMENT;FISHERIES RESOURCE;FISHERIES SCIENCE (FR: HALIEUTIQUE);FISHING STRATEGY ANALYSIS;FORAGE TRACKING;GEOSTATISTICS;GLOBAL OCEAN;GRAPH THEORY;INDIAN OCEAN;INDICATOR (BIOLOGICAL);INDICATOR (DASHBOARD);INTERPOLATION;INVERSE PROBLEM;MATHEMATICS;MEDITERRANEAN SEA;MODEL (MATHEMATICAL);MODEL (SPATIALLY EXPLICIT);MODELLING;MODELLING (BAYESIAN);MODELLING (HABITAT, ECOLOGY);MODELLING (INFERENTIAL);MODELLING (PREDICTIVE);MODELLING (STATISTICAL);MODELLING (STOCHASTIC PROCESSES);MULTI-SCALE (SPATIAL AND TEMPORAL);MULTI-SCALE (SPATIAL);MULTIDISCIPLINARY;MULTIVARIATE DATA ANALYSIS (MVA);NONPARAMETRIC STATISTICS;PELAGIC FISH;POPULATION DYNAMICS;PROBABILITY DISTRIBUTION;PROBABILITY THEORY;R PROGRAMMING;REMOTE SENSING;RENEWABLE RESOURCE;RISK ASSESSMENT;SDG 02 (SUST. DEVEL. GOAL - ALIMENTATION);SDG 14 (SUST. DEVEL. GOAL - OCEANS);SFDS (FRENCH SOC. STATISTICS);SIMULATION;SIMULATION (MONTE-CARLO);SPATIAL ANALYSIS;SPATIAL DYNAMICS;STATISTICS;STATISTICS (SPATIAL);STOCK ASSESSMENT;TIME SERIES;TRAINING (FR: FORMATION);TUNA FISHERIES;UMR MARBEC (MAR. BIODIV. EXPLOIT. CONSERV.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[[[[[Didier JOUFFRE]]]]]]];ANIMAL COMMUNITY;ARTISANAL FISHERY;ATLANTIC OCEAN;ATLANTIC OCEAN (INTERTROPICAL);BIODIVERSITY;BIODIVERSITY (CONSERVATION);BIODIVERSITY (FUNCTIONAL);BIODIVERSITY (MARINE);BIOLOGY (MARINE);BIOMASS (OCEAN);BISSAU GUINEA;CAPACITY BUILDING;CATCHABILITY;CENTRAL EAST ATLANTIC OCEAN;CONSERVATION BIOLOGY;DATA (ENVIRONMENTAL, SOCIO-ECOLOGICAL);DATA (FISHERIES);DATA ANALYSIS;DATA POOR CONTEXT;DEMERSAL FISH SPECIES;EAF (ECOSYSTEM APPROACH TO FISHERIES);ECOLOGY (FISHERIES);ECOLOGY (LAGOON);ECOLOGY (MARINE);ECOLOGY (QUANTITATIVE);ECOSYSTEM (AQUATIC);ECOSYSTEM (COASTAL);ECOSYSTEM (LAGOON OR REEF);ECOSYSTEM (MARINE);ECOSYSTEM DYNAMICS;ELECTRONIC TAGGING;ENVIRONMENT;ENVIRONMENT (MARINE);ETANG DE THAU LAGOON (FRANCE);EXPERTISE (SCIENTIFIC);FISHERIES MANAGEMENT;FISHERIES RESOURCE;FISHERIES SCIENCE (FR: HALIEUTIQUE);FISHES;FORECASTING;GHANA;GLOBAL CHANGE IMPACT;GOVERNANCE;GROWTH EQUATION;GUINEA REP.;INDICATOR (BIOLOGICAL);INDICATOR (DASHBOARD);INDICATOR (ENVIRONMENTAL);INFORMATION SYSTEM;LAGOON;LIFE HISTORY TRAIT;MARINE PROTECTED AREA (MPA);MAURITANIA ISLAMIC REP.;MODEL (MATHEMATICAL);MODEL (NUMERICAL);MODELLING;MODELLING (MATHEMATICAL);MODELLING (PREDICTIVE);MONITORING (ENVIRONMENTAL);MULTIVARIATE DATA ANALYSIS (MVA);OBSERVATORY;OCEANOGRAPHY (BIOLOGICAL);OCTOPUS_VULGARIS;PLANKTON;PLANKTON (ZOO);POPULATION DYNAMICS;RENEWABLE RESOURCE;RESEARCH CRUISE;SDG 14 (SUST. DEVEL. GOAL - OCEANS);SENEGAL;SHRIMP;SPATIAL ANALYSIS;STOCK ASSESSMENT;SUSTAINABILITY (FISHERIES);UMR MARBEC (MAR. BIODIV. EXPLOIT. CONSERV.);UPWELLING;VIRTUAL POPULATION ANALYSIS (VPA);WEST AFRICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[[[[[Régis HOCDE]]]]]]];ANIMAL COMMUNITY;BIODIVERSITY;BIODIVERSITY (HOTSPOT);BIODIVERSITY (ISLAND);BIODIVERSITY (MARINE);BIOLOGY (MARINE);COLOMBIA;COMPUTER SCIENCE;CONSERVATION BIOLOGY;CORAL TRIANGLE (MARINE AREA);DATA (GENETICS);DATA ANALYSIS;DATA COLLECTION;DATA COMMUNICATION NETWORK;DATA DISSEMINATION;DATA INFRASTRUCTURE;DATA INTEROPERABILITY;DATA MANAGEMENT;DATA PROCESSING;DATA SHARING;DATABASE ENGINEERING;ECOLOGY (MARINE);ECOSYSTEM (AQUATIC);ECOSYSTEM (LAGOON/REEF);ECOSYSTEM (MARINE);EDUCATION;PEDAGOGY;ENVIRONMENT;ENVIRONMENT (ISLAND);ENVIRONMENTAL DNA;ESTUARY;EXPERTISE (ENGINEERING);FAIR (FIND, ACCESS, INTEROPERATE, REUSE) DATA;FISHES;GEOMATICS;INDONESIA;INFORMATION PROCESSING;INFORMATION SYSTEM;INFORMATION TECHNOLOGY (IT);INTEROPERABILITY;IT SYSTEM MANAGEMENT;IT SYSTEMS (DECENTRALIZED);IT SYSTEMS ARCHITECTURE;LENGGURU (INDONESIA);MACHINE;DEEP LEARNING;MARINE MEGAFAUNA;MARINE PROTECTED AREA (MPA);MESOPHOTIC;TWILIGHT ZONE (OCEANOGR.);METADATA;MONITORING (ENVIRONMENTAL);MULTI-SENSOR APPROACH;MULTIDISCIPLINARY;NEW GUINEA (INDONESIA);OBSERVATORY;OCEANOGRAPHY (BIOLOGICAL);OPEN DATA;OPEN SCIENCE;OPEN SOURCE;OPERATIONAL RESEARCH;REMOTE SENSING;RESEARCH CRUISE;RESEARCH INFRASTRUCTURE;SCIENTIFIC DIVING;SDG 04 (SUST. DEVEL. GOAL - EDUCATION);SDG 14 (SUST. DEVEL. GOAL - OCEANS);SEAMOUNT;SENSOR OBSERVATION SERVICE;SOUTH PACIFIC ISLANDS;SOUTH WESTERN TROPICAL PACIFIC OCEAN;TRAINING (FR: FORMATION);UMR MARBEC (MAR. BIODIV. EXPLOIT. CONSERV.);WEB SERVICES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[[[[[Nicolas BARRIER]]]]]]];APECOSM (APEX PREDATORS ECOSYSTEM MODEL);ATLANTIC OCEAN;ATMOSPHERE;BIODIVERSITY (MARINE);BIOLOGY (MARINE);BIOMASS (OCEAN);CLIMATE CHANGE IMPACTS;CLIMATOLOGY (HYDRO);COMPUTER SCIENCE;CURRENTOLOGY;DEVELOPMENT (SOFTWARE ARCHITECTURE);DEVELOPMENT (SOFTWARE);DISCRETIZATION;DISPERSAL (LARVAL);ECOLOGY (FISHERIES);ECOLOGY (MARINE);ECOSYSTEM (MARINE);ECOSYSTEM (TROPICAL PELAGIC);ECOSYSTEM DYNAMICS;ECOSYSTEM PROCESSES;FISHERIES RESOURCE;FISHERIES SCIENCE (FR: HALIEUTIQUE);FISHES;GLOBAL OCEAN;HIGH PERFORMANCE COMPUTING;HYDROGRAPHY;ICHTHYOP (SOFTWARE);INDICATOR (ENVIRONMENTAL);INFORMATION TECHNOLOGY (IT);INTERPOLATION;LAGRANGIAN MECHANICS;MATHEMATICS;MATLAB (SOFTWARE);MEDITERRANEAN SEA;METEOROLOGY (HYDRO);MODEL (AGENT-BASED);MODEL (BIO-PHYSICAL);MODEL (BIOENERGETICS);MODEL (BIOGEOCHEMICAL);MODEL (END-TO-END);MODEL (INDIVIDUAL-BASED);MODEL (LAND VEGETATION);MODEL (NUMERICAL);MODEL (PREDATOR-PREY);MODEL COUPLING;MODEL DEB (DYNAMIC ENERGY BUDGET);MODELLING;MODELLING (CALIBRATION);MODELLING (ECOLOGICAL);MODELLING (INTEGRATED);MODELLING (INTERDISCIPLINARY);MODELLING (MULTI-SCALE);NATURAL RESOURCE MANAGEMENT;NORTH ATLANTIC OCEAN;OCEAN CIRCULATION;OCEANOGRAPHY;OCEANOGRAPHY (BIOLOGICAL);OCEANOGRAPHY (PHYSICAL);OSMOSE (MODEL);PARALLEL AND DISTRIBUTED COMPUTING;PLANKTON;PLANKTON (ICHTYO);PLANKTON (PHYTO);PLANKTON (ZOO);PROGRAM OPTIMIZATION;PYTHON (PROGRAMMING LANGUAGE);R (PROGRAMMING LANGUAGE);SDG 13 (SUST. DEVEL. GOAL - CLIMATE);SDG 14 (SUST. DEVEL. GOAL - OCEANS);SEAMOUNT;SIMULATION;TRAINING (FR: FORMATION);UMR MARBEC (MAR. BIODIV. EXPLOIT. CONSERV.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[[[[[Daniel GAERTNER]]]]]]];ARTIFICIAL NEURAL NETWORK;ATLANTIC OCEAN;BEHAVIOUR (FISHERMEN);BIODIVERSITY (CONSERVATION);BIODIVERSITY (HOTSPOT);BIODIVERSITY (MARINE);BIOLOGY (MARINE);BIOSTATISTICS;BROWNIE TAG RETURN MODEL;CAPACITY BUILDING;CATCHABILITY;DATA COLLECTION;DATA PROCESSING;EAF (ECOSYSTEM APPROACH TO FISHERIES);ECOLOGY (FISHERIES);ECOLOGY (QUANTITATIVE);ECOSYSTEM (MARINE);ECOSYSTEM (TROPICAL PELAGIC);EXPERTISE (SCIENTIFIC);FAD (FISH AGGREGATING DEVICE);FISHERIES MANAGEMENT;FISHERIES SCIENCE (FR: HALIEUTIQUE);FISHING STRATEGY ANALYSIS;GROWTH EQUATION;INDIAN OCEAN;INDICATOR (BIOLOGICAL);MARINE PROTECTED AREA (MPA);MODEL (SPATIALLY EXPLICIT);MODEL GLM (GENERAL LINEARIZED MODEL);MODELLING;MODELLING (BAYESIAN);MODELLING (STATISTICAL);MODELLING (TOPIC);MONITORING (SOCIO-ENVIRONMENTAL);MULTI-SCALE (SPATIAL);MULTIDISCIPLINARY;NATURAL RESOURCE MANAGEMENT;PELAGIC FISH;POPULATION DYNAMICS;PURSE SEINE FISHERY;R PROGRAMMING;SDG 02 (SUST. DEVEL. GOAL - ALIMENTATION);SDG 04 (SUST. DEVEL. GOAL - EDUCATION);SDG 14 (SUST. DEVEL. GOAL - OCEANS);SELECTIVITY (FISHING GEAR);SENEGAL;SIMULATION;SIMULATION (MONTE-CARLO);SOCIAL NETWORK ANALYSIS;SPATIAL ANALYSIS;SPORT FISHERY;STAKEHOLDER;STOCK ASSESSMENT;SUSTAINABILITY (FISHERIES);SUSTAINABLE MANAGEMENT;TAG-RECAPTURE EXPERIMENT;TEXT MINING;TIME SERIES;TRAINING (FR: FORMATION);TUNA FISHERIES;UMR MARBEC (MAR. BIODIV. EXPLOIT. CONSERV.);VENEZUELA;WEST AFRICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[[[[[Monique SIMIER]]]]]]];ARTISANAL FISHERY;ATLANTIC OCEAN;ATLANTIC OCEAN (INTERTROPICAL);BEHAVIOUR (FISH);BIODIVERSITY;BIODIVERSITY (ANTHROPOGENIC INFLUENCE);BIODIVERSITY (CONSERVATION);BIODIVERSITY (FUNCTIONAL);BIODIVERSITY (MARINE);BIOLOGY (MARINE);BIOMETRICS;BIOSTATISTICS;BISSAU GUINEA;CENTRAL EAST ATLANTIC OCEAN;CLASSIFICATION - TYPOLOGY;CLIMATE CHANGE IMPACTS;COMPUTER GRAPHICS;COMPUTER SCIENCE;DATA ANALYSIS;DATA CLUSTERING;DATA PROCESSING;DATABASE ENGINEERING;ECOLOGY (FISHERIES);ECOLOGY (MARINE);ECOLOGY (QUANTITATIVE);ECOLOGY (TROPHIC);ECOSYSTEM (AQUATIC);ECOSYSTEM (COASTAL);ECOSYSTEM (LAGOON OR REEF);ECOSYSTEM (MARINE);ECOSYSTEM (TROPICAL PELAGIC);ESTUARY;FAD (FISH AGGREGATING DEVICE);FISHERIES MANAGEMENT;FISHERIES SCIENCE (FR: HALIEUTIQUE);FISHES;HABITAT (MARINE);INDIAN OCEAN;INDICATOR (BIOLOGICAL);INDICATOR (ENVIRONMENTAL);IT SYSTEM MANAGEMENT;LAGOON;MANGROVE;MARINE PROTECTED AREA (MPA);MEDITERRANEAN SEA;MODEL GLM (GENERAL LINEARIZED MODEL);MODELLING (STATISTICAL);MULTIVARIATE DATA ANALYSIS (MVA);NONPARAMETRIC STATISTICS;NORDESTE (BRAZIL);OCEANOGRAPHY (BIOLOGICAL);PELAGIC FISH;PLANKTON;PLANKTON (PHYTO);R PROGRAMMING;SDG 04 (SUST. DEVEL. GOAL - EDUCATION);SDG 14 (SUST. DEVEL. GOAL - OCEANS);SENEGAL;SFDS (FRENCH SOC. STATISTICS);SOUTH WESTERN INDIAN OCEAN;STATISTICS;TRAINING (FR: FORMATION);TUNA FISHERIES;UMR MARBEC (MAR. BIODIV. EXPLOIT. CONSERV.);WEST AFRICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
