Christophe PROISY; Amazon Forest;Brazil;Climate Change Impacts;Coastal Processes;Conservation Biology;Ecology (Forest);Ecology (Terrestrial);Ecosystem Dynamics;Ecosystem Processes;Environment;Estuary;Forest Dynamics;French Guiana;Ichthyop (Software);Image Processing;Impact Assesment (Environment);India;Indonesia;Lidar (Laser Aerial Imaging);Mangrove;MODELLING;Modelling (Multi-Scale);Modelling (Physics);Monitoring (Environmental);Multi-Scale (Spatial);Oceanography;Radar;Remote Sensing;Remote Sensing VHSR (Very High Spatial Resolution);River;SDG 13 (Sust. Devel. Goal - Climate);SDG 14 (Sust. Devel. Goal - Oceans);SDG 15 (Sust. Devel. Goal - Terrestrial Ecosystems);South-East Asia;Spatial Dynamics;Tropical Rain Forest;UMR AMAP (Botany Model. Plant Architect. Veget.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
François SABOT; African Rice;Agriculture;Algorithmics;Benin;Big Data;Biodiversity;Bioinformatics;Biology (Computational);Biology (Evolutionary);Capacity Building;Comparative Approach;Data Analysis;Data Mining;DNA Sequencing;Domestication;Evolutionary History (Plants);Genetics;Genome Diversification;Genome Sequencing;Genomics;Genomics (Evolutive);Genomics (Structural);Graph Theory;High Performance Computing (HPC);Metadata;Molecular Biology;NGS (Next Generation Sequencing);Open Data;Open Science;Open Source;Pan-Genomics;Parallel And Distributed Computing;Population Genetics;Retrotransposon;Rice;SDG 02 (Sust. Devel. Goal - Alimentation);SDG 04 (Sust. Devel. Goal - Education);Senegal;Software Engineering;Speciation;Training (Fr: Formation);UMR Diade (Plant DIversity Adapt. & DEv.);Vietnam;West Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pauline GLUSKI; Atlas Edition;Cartography And Mapping;Colombia;Data (Georeferenced);Data Analysis;Data Collection;Data Management;DATA SCIENCE;Database Engineering;Environment;Geographic Information Science;Geography (Social);Geomatics;Geovisualisation;GIS (Geogr. Inform. Sys.);Impact Assesment (Environment);Information System;Monitoring (Socio-Environmental);Popularization (Fr: Vulgarisation);Risk (Environmental);Sci. Administration And Management;SDG 03 (Sust. Devel. Goal - Health And Well-Being);SDG 04 (Sust. Devel. Goal - Education);SDG 11 (Sust. Devel. Goal - Cities);SDG 12 (Sust. Devel. Goal - Consumption And Production);SDG 16 (Sust. Devel. Goal - Society);Senegal;Social Representation;South America;Spatial Analysis;Spatial Dynamics;Statistics (Spatial);Training (Fr: Formation);UMR PRODIG (Res. Cent. For Geog. Inf. Organ. Dissemin.);Vulnerability;West Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daniel GAERTNER; Artificial Neural Network;Atlantic Ocean;Behaviour (Fishermen);Biodiversity (Conservation);Biodiversity (Hotspot);Biodiversity (Marine);Biology (Marine);Biostatistics;Brownie Tag Return Model;Capacity Building;Catchability;Data Collection;Data Processing;EAF (Ecosystem Approach To Fisheries);Ecology (Fisheries);Ecology (Quantitative);Ecosystem (Marine);Ecosystem (Tropical Pelagic);Expertise (Scientific);FAD (Fish Aggregating Device);Fisheries Management;Fisheries Science (Fr: Halieutique);Fishing Strategy Analysis;Growth Equation;Indian Ocean;Indicator (Biological);Marine Protected Area (MPA);Model (Spatially Explicit);Model GLM (General Linearized Model);MODELLING;Modelling (Bayesian);Modelling (Statistical);Modelling (Topic);Monitoring (Socio-Environmental);Multi-Scale (Spatial);MULTIDISCIPLINARY;Natural Resource Management;Pelagic Fish;Population Dynamics;Purse Seine Fishery;R Programming;SDG 02 (Sust. Devel. Goal - Alimentation);SDG 04 (Sust. Devel. Goal - Education);SDG 14 (Sust. Devel. Goal - Oceans);Selectivity (Fishing Gear);Senegal;Simulation;Simulation (Monte-Carlo);Social Network Analysis;Spatial Analysis;Sport Fishery;Stakeholder;Stock Assessment;Sustainability (Fisheries);Sustainable Management;Tag-Recapture Experiment;Text Mining;Time Series;Training (Fr: Formation);Tuna Fisheries;UMR MARBEC (MAR. Biodiv. Exploit. Conserv.);Venezuela;West Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jean-Christophe DESCONNETS; Big Data;Climate Change Impacts;computer Science;data Collection;data Conservation;data Dissemination;data Infrastructure;data Interoperability;data Management;data Processing;data Quality Assessment;data Sharing;database Engineering;database Management System (DBMS);desertification;development (Software Architecture);environment;geomatics;GIS (Geogr. Inform. Sys.);Hydrology;hydrosystem;information System;Information Technology (IT);interoperability;IT System Management;metadata;MODELLING;modelling (Hydrological);Modelling (Metadata);MULTIDISCIPLINARY;Niger Country;observatory;On-Demand Service;open Science;open Source;remote Sensing;Sahel;SDG 04 (Sust. Devel. Goal - Education);SDG 13 (Sust. Devel. Goal - Climate);SDG 15 (Sust. Devel. Goal - Terrestrial Ecosystems);semantic Web;Technology Transfer;Theia (Data Services Infrastr. Land Surfaces);Training (Fr: Formation);UMR Espace-Dev (Space For Devel.);Water Resources;Web Portal Devel.;West Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Didier JOUFFRE; Animal Community;Artisanal Fishery;Atlantic Ocean;Atlantic Ocean (Intertropical);Biodiversity;Biodiversity (Conservation);Biodiversity (Functional);Biodiversity (Marine);Biology (Marine);Biomass (Ocean);Bissau Guinea;Capacity Building;Catchability;Central East Atlantic Ocean;Conservation Biology;Data (Environmental, Socio-Ecological);Data (Fisheries);Data Analysis;Data Poor Context;Demersal Fish Species;EAF (Ecosystem Approach To Fisheries);Ecology (Fisheries);Ecology (Lagoon);Ecology (Marine);Ecology (Quantitative);Ecosystem (Aquatic);Ecosystem (Coastal);Ecosystem (Lagoon Or Reef);Ecosystem (Marine);Ecosystem Dynamics;Electronic Tagging;Environment;Environment (Marine);Etang De Thau Lagoon (France);Expertise (Scientific);Fisheries Management;Fisheries Resource;Fisheries Science (Fr: Halieutique);Fishes;Forecasting;Ghana;Global Change Impact;Governance;Growth Equation;Guinea Rep.;Indicator (Biological);Indicator (Dashboard);Indicator (Environmental);Information System;Lagoon;Life History Trait;Marine Protected Area (MPA);Mauritania Islamic Rep.;Model (Mathematical);Model (Numerical);MODELLING;Modelling (Mathematical);Modelling (Predictive);Monitoring (Environmental);Multivariate Data Analysis (MVA);Observatory;Oceanography (Biological);Octopus_vulgaris;Plankton;Plankton (Zoo);Population Dynamics;Renewable Resource;Research Cruise;SDG 14 (Sust. Devel. Goal - Oceans);Senegal;Shrimp;Spatial Analysis;Stock Assessment;Sustainability (Fisheries);UMR MARBEC (MAR. Biodiv. Exploit. Conserv.);Upwelling;Virtual Population Analysis (VPA);West Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eric CHENIN; Artificial Neural Network;Biodiversity;Biodiversity (Conservation);Capacity Building;Complex System;Data Collection;Data Conservation;Data Dissemination;Data Management;DATA SCIENCE;Database Management System (DBMS);Development (Software Architecture);GBIF (Global Biodiv. Inform. Facility);Information Processing;Information System;Information Technology (IT);Integrative Approach;IT System Management;Knowledge Representation;Machine - Deep Learning;MODELLING;Modelling (Multi-Scale);MULTIDISCIPLINARY;Senescence (Systems's Dynamics);Text Mining;UMI UMMISCO (Math. Comput. Model. Complex Syst.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luc DECKER; algorithmics;clinical research informatics;computer graphics;computer science;data (healthcare);data (sensitive);data anonymisation;data citation;data cleaning;data coding;data collection;data curation;data management plan;data publishing;data quality assessment;DATA SCIENCE;data security;data sharing;data warehouse;database engineering;database management system (DBMS);development (software architecture);e-learning;electronic data capture;FAIR (Find, Access, Interoperate, Reuse) data;GDPR (fr: RGPD) Gen. Data Protec. Regul.;good clinical practice (GCP);human subjects protection;infectious disease;information system;Information Technology (IT);IT system management;IT systems architecture;mathematical morphology;model (reaction-diffusion);MODELLING;open data;public health;public-key cryptography;quality assurance (ISO 9001 standard);R programming;randomization (clinical research);SDG 03 (Sust. Devel. Goal - Health and well-being);SDG 04 (Sust. Devel. Goal - Education);simulation;software engineering;traceability;training (fr: formation);Web portal devel. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Elisabeth HABERT; Atlas Edition;Cartography And Mapping;Data (Environmental, Socio-Ecological);Data (Georeferenced);Data Analysis;Data Collection;Data Dissemination;Data Management;Data Processing;DATA SCIENCE;Data Warehouse;Database Engineering;Decision Support Tool;Delta;East Timor;Education - Pedagogy;Estuary;Ethnoecology;FAIR (Find, Access, Interoperate, Reuse) Data;French Polynesia;Geography (Island);Geography (Social);Geomatics;Geopark;GIS (Geogr. Inform. Sys.);Heritage (Fr: Patrimoine);Marquesas Islands;Metadata;Model DEM (Digital Elevation Model);Morocco;MULTIDISCIPLINARY;New Caledonia;Open Data;Open Science;Open Source;Participatory Mapping;Popularization (Fr: Vulgarisation);SDG 04 (Sust. Devel. Goal - Education);SDG 16 (Sust. Devel. Goal - Society);Semiotics;Senegal River;Social Representation;Training (Fr: Formation);UMR PALOC (Heritage, Environment, Globalization);Virtual Museum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmanuel BONNET; Bamako (Mali);Benin;Burkina-Faso;Cartography And Mapping;Cotonou (Benin);Crowdsourcing;Data (Georeferenced);Data (Healthcare);Data Collection;Data Communication Network;Data Dissemination;Data Interoperability;Data Management;DATA SCIENCE;Decision Support Tool;Dengue Fever;Development (Software Architecture);Epidemic Spread;Flood (Fr: Crue_Inondation);Geography (Health);Geography (Social);Geolocation;Geomatics;GIS (Geogr. Inform. Sys.);Health Policy;Impact Assessment (Health);Malaria;Mali;Mobile Health;Modelling (Statistical);Monitoring (Health);MULTIDISCIPLINARY;Observatory;Open Data;Operational Research;Ouagadougou (Burkina-Faso);Participatory Mapping;Popularization (Fr: Vulgarisation);Prevention (Health);Public Health;Risk Assessment;Road Safety;Road Traffic;Screening (Health);SDG 03 (Sust. Devel. Goal - Health And Well-Being);SDG 11 (Sust. Devel. Goal - Cities);SDG 16 (Sust. Devel. Goal - Society);Simulation;Spatial Analysis;Spatial Dynamics;Territory;Training (Fr: Formation);UMR PRODIG (Res. Cent. For Geog. Inf. Organ. Dissemin.);Vulnerability;West Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
